account,product,contract,direction,qty,entry_price,entry_time,exit_price,exit_time,pnl,source
APEX-484839-10,M2K,M2KU6,Long,5.0,3046.1,2026-08-12T09:46:25,3058.1,2026-08-12T15:10:37,300.0,Orders-78.csv
APEX-484839-10,MGC,MGCZ6,Short,1.0,4498.1,2026-08-12T08:43:42,4468.8,2026-08-12T16:59:01,293.0,Orders-78.csv
APEX-484839-10,MCL,MCLU6,Short,3.0,83.51,2026-08-12T06:49:00,82.6,2026-08-12T16:59:01,273.0,Orders-78.csv
APEX-484839-10,MYM,MYMU6,Long,6.0,53951.0,2026-08-12T09:30:55,53862.0,2026-08-12T16:59:01,-267.0,Orders-78.csv
APEX-484839-10,MES,MESU6,Long,2.0,7765.0,2026-08-12T10:04:09,7766.5,2026-08-12T16:59:01,15.0,Orders-78.csv
APEX-484839-10,MCL,MCLU6,Long,4.0,81.24,2026-08-13T05:14:10,82.17,2026-08-13T06:10:15,372.0,Orders-79.csv
APEX-484839-10,MYM,MYMU6,Long,6.0,53801.0,2026-08-13T11:18:35,53900.0,2026-08-13T14:40:00,297.0,Orders-79.csv
APEX-484839-10,M2K,M2KU6,Short,5.0,3055.2,2026-08-13T00:16:38,3060.6,2026-08-13T16:59:01,-135.0,Orders-79.csv
APEX-484839-10,M2K,M2KU6,Short,8.0,3068.8,2026-08-13T09:31:08,3060.6,2026-08-13T16:59:01,328.0,Orders-79.csv
APEX-484839-10,MCL,MCLU6,Short,2.0,82.29,2026-08-13T11:16:21,81.2,2026-08-13T16:59:01,218.0,Orders-79.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4458.3,2026-08-12T23:58:39,4407.3,2026-08-13T16:59:03,-510.0,Orders-79.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4446.1,2026-08-13T01:44:20,4407.3,2026-08-13T16:59:03,-388.0,Orders-79.csv
APEX-484839-10,MES,MESU6,Long,3.0,7824.0,2026-08-13T20:46:42,7823.75,2026-08-13T20:47:01,-3.75,Orders-79.csv
APEX-484839-10,MES,MESU6,Short,3.0,7823.75,2026-08-13T20:47:01,7823.0,2026-08-13T21:34:57,11.25,Orders-79.csv
APEX-484839-10,MCL,MCLU6,Long,2.0,81.26,2026-08-13T21:10:12,81.8,2026-08-14T01:54:50,108.0,Orders-79.csv
APEX-484839-10,MYM,MYMU6,Short,4.0,53943.0,2026-08-13T20:29:44,53926.0,2026-08-14T02:12:40,34.0,Orders-79.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4399.9,2026-08-14T04:03:03,4404.3,2026-08-14T04:14:50,44.0,Orders-80.csv
APEX-484839-10,MCL,MCLU6,Short,3.0,81.97,2026-08-14T01:59:06,81.27,2026-08-14T08:46:01,210.0,Orders-79.csv
APEX-484839-10,M2K,M2KU6,Long,5.0,3052.3,2026-08-14T09:30:20,3056.9,2026-08-14T09:31:41,115.0,Orders-80.csv
APEX-484839-10,MGC,MGCZ6,Short,2.0,4426.5,2026-08-14T08:00:10,4431.7,2026-08-14T16:59:01,-104.0,Orders-80.csv
APEX-484839-10,M2K,M2KU6,Short,5.0,3068.7,2026-08-14T10:07:29,3071.7,2026-08-14T16:59:01,-75.0,Orders-80.csv
APEX-484839-10,MYM,MYMU6,Long,6.0,53886.0,2026-08-14T03:02:29,53784.0,2026-08-14T16:59:01,-306.0,Orders-80.csv
APEX-484839-10,MES,MESU6,Long,3.0,7811.25,2026-08-14T10:31:05,7802.25,2026-08-14T16:59:01,-135.0,Orders-80.csv
APEX-484839-10,MES,MESU6,Long,3.0,7803.25,2026-08-14T11:24:14,7802.25,2026-08-14T16:59:01,-15.0,Orders-80.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4445.0,2026-08-17T09:40:03,4450.1,2026-08-17T09:49:11,51.0,Orders-81.csv
APEX-484839-10,MGC,MGCZ6,Long,1.0,4476.3,2026-08-17T10:28:32,4478.6,2026-08-17T10:30:37,23.0,Orders-81.csv
