Contracts,Leverage,Direction,Order No.,Transaction Time(UTC+8),Order Type,Filled Type,Filled Qty,Filled Price,Fees,Liquidation fee,Position order no.,P/L,Margin,Close price,Swaps,Opening fee,Withholding profit,Net P/L
BTCUSDT,70,SELL,61777741,2024-12-20 19:50:14,Market,OPEN,0.07,93305.44000000,-2.94000000,-,19573739,-,93.30544000,-,-,-,-,-
BTCUSDT,25,BUY,61774509,2024-12-20 19:33:04,Market,CLOSE,0.02,93356.01000000,-0.84000000,-,19560406,64.52000000,77.26572000,93356.01000000,-,-0.87000000,9.42000000,62.81000000
API3USDT,15,SELL,61769131,2024-12-20 18:41:04,Market,OPEN,1020.00,1.46030000,-0.67000000,-,19571623,-,99.30040000,-,-,-,-,-
BTCUSDT,75,SELL,61739395,2024-12-20 15:28:54,Market,OPEN,0.07,98015.56000000,-3.09000000,-,19566942,-,91.48118933,-,-,-,-,-
BTCUSDT,60,BUY,61726237,2024-12-20 12:38:43,Market,OPEN,0.06,97652.83000000,-2.64000000,-,19563743,-,97.65283000,-,-,-,-,-
XRPUSDT,40,SELL,61718329,2024-12-20 10:52:34,Market,CLOSE,1700.00,2.32979000,-1.78000000,-,19556151,122.74000000,95.94757500,2.32979000,-,-1.73000000,17.88000000,119.23000000
GRTUSDT,10,SELL,61713329,2024-12-20 10:03:33,Market,CLOSE,4000.00,0.21298000,-0.38000000,-,19557995,12.20000000,83.97200000,0.21298000,-,-0.38000000,1.72000000,11.44000000
BTCUSDT,25,SELL,61712553,2024-12-20 09:53:34,Market,OPEN,0.02,96582.15000000,-0.87000000,-,19560406,-,77.26572000,-,-,-,-,-
ETHUSDT,50,SELL,61711197,2024-12-20 09:39:33,Market,CLOSE,1.40,3398.40000000,-2.14000000,-,19555426,-46.02000000,96.07556000,3398.40000000,-,-2.16000000,0.00000000,-50.32000000
NEOUSDT,15,SELL,61697488,2024-12-20 08:58:04,Market,CLOSE,100.00,14.19700000,-0.64000000,-,19549713,-5.70000000,95.02666667,14.19700000,-,-0.64000000,0.00000000,-6.98000000
GRTUSDT,10,BUY,61692079,2024-12-20 08:10:24,Market,OPEN,4000.00,0.20993000,-0.38000000,-,19557995,-,83.97200000,-,-,-,-,-
XRPUSDT,40,BUY,61684140,2024-12-20 06:32:14,Market,OPEN,1700.00,2.25759000,-1.73000000,-,19556151,-,95.94757500,-,-,-,-,-
ETHUSDT,50,BUY,61681656,2024-12-20 05:58:03,Market,OPEN,1.40,3431.27000000,-2.16000000,-,19555426,-,96.07556000,-,-,-,-,-
NEOUSDT,15,BUY,61660037,2024-12-20 02:36:54,Market,OPEN,100.00,14.25400000,-0.64000000,-,19549713,-,95.02666667,-,-,-,-,-
BTCUSDT,180,BUY,61553115,2024-12-19 10:12:00,Market,CLOSE,0.08,99238.90000000,-79.39000000,-79.39000000,19521049,169.61000000,45.04848000,99238.90000000,-,-3.65000000,12.99000000,86.57000000
ADAUSDT,40,SELL,61553113,2024-12-19 10:12:00,Market,CLOSE,200.00,0.92203600,-2.21000000,-2.21000000,19505180,-19.62000000,5.10059500,0.92203600,-,-,-,-
XRPUSDT,20,SELL,61553111,2024-12-19 10:12:00,Market,CLOSE,100.00,2.21596000,-2.22000000,-2.22000000,19473393,-24.96000000,12.32755000,2.21596000,-,-,-,-
SOLUSDT,500,SELL,61553109,2024-12-19 10:12:00,Market,CLOSE,2.00,200.74210000,-4.82000000,-4.82000000,19505024,-31.27000000,0.86551160,200.74210000,-,-,-,-
SUIUSDT,40,SELL,61553107,2024-12-19 10:12:00,Market,CLOSE,100.00,4.10120000,-4.92000000,-4.92000000,19505086,-40.21000000,11.25825000,4.10120000,-,-,-,-
API3USDT,10,SELL,61553105,2024-12-19 10:12:00,Market,CLOSE,260.00,1.63570000,-5.10000000,-5.10000000,19515789,-62.84000000,48.81240000,1.63570000,-,-0.22000000,0.00000000,-68.16000000
ACHUSDT,15,SELL,61553103,2024-12-19 10:12:00,Market,CLOSE,58000.00,0.02428000,-16.90000000,-16.90000000,19528471,-66.70000000,98.32933333,0.02428000,-,-0.66000000,0.00000000,-84.26000000
XLMUSDT,40,SELL,61553101,2024-12-19 10:12:00,Market,CLOSE,10000.00,0.37831300,-45.40000000,-45.40000000,19504939,-463.16000000,106.15725000,0.37831300,-,-,-,-
XRPUSDT,180,SELL,61553099,2024-12-19 10:12:00,Market,CLOSE,7700.00,2.21596000,-170.63000000,-170.63000000,19525242,-812.35000000,99.30690000,2.21596000,-,-8.04000000,0.00000000,-991.02000000
DOGEUSDT,140,BUY,61547821,2024-12-19 09:42:03,Market,CLOSE,19000.00,0.35701000,-3.05000000,-,19522707,65.17000000,48.91685714,0.35701000,-,-3.08000000,8.86000000,59.04000000
ACHUSDT,15,BUY,61547584,2024-12-19 09:38:54,Market,OPEN,58000.00,0.02543000,-0.66000000,-,19528471,-,98.32933333,-,-,-,-,-
BIGTIMEUSDT,15,SELL,61528003,2024-12-19 07:57:04,Market,CLOSE,4760.00,0.14393000,-0.31000000,-,19510419,-64.64000000,49.98317333,0.14393000,-,-0.34000000,0.00000000,-65.29000000
XRPUSDT,180,BUY,61523902,2024-12-19 07:14:43,Market,OPEN,7700.00,2.32146000,-8.04000000,-,19525242,-,99.30690000,-,-,-,-,-
DOGEUSDT,140,SELL,61514667,2024-12-19 05:16:34,Market,OPEN,19000.00,0.36044000,-3.08000000,-,19522707,-,48.91685714,-,-,-,-,-
API3USDT,20,BUY,61509962,2024-12-19 04:42:34,Market,CLOSE,520.00,1.78780000,-0.42000000,-,19517652,60.42000000,49.50400000,1.78780000,-,-0.45000000,8.93000000,59.55000000
BTCUSDT,180,SELL,61507919,2024-12-19 04:27:24,Market,OPEN,0.08,101359.08000000,-3.65000000,-,19521049,-,45.04848000,-,-,-,-,-
HBARUSDT,50,SELL,61492696,2024-12-19 03:00:52,Market,CLOSE,5000.00,0.30479000,-0.69000000,-,19495046,81.50000000,28.84900000,0.30479000,-,-,-,-
API3USDT,20,SELL,61492098,2024-12-19 02:54:14,Market,OPEN,520.00,1.90400000,-0.45000000,-,19517652,-,49.50400000,-,-,-,-,-
XRPUSDT,185,SELL,61489976,2024-12-19 02:17:03,Market,CLOSE,3600.00,2.49025000,-4.03000000,-,19507129,-48.31000000,48.72006486,2.49025000,-,-4.06000000,0.00000000,-56.40000000
API3USDT,10,BUY,61485586,2024-12-19 01:02:04,Market,OPEN,260.00,1.87740000,-0.22000000,-,19515789,-,48.81240000,-,-,-,-,-
